page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image     247   158  icc     3   8  image  no       178  0   104   104 29.3K  26%
   1     1 image     922   615  icc     3   8  image  no       179  0   432   434  194K  12%
   1     2 smask     922   615  gray    1   8  image  no       179  0   432   434 11.4K 2.1%
   1     3 image     881   346  icc     3   8  image  no       180  0   250   250  159K  18%
   1     4 smask     881   346  gray    1   8  image  no       180  0   250   250 5607B 1.8%
   1     5 image     455   330  icc     3   8  image  no       181  0   209   210  169K  39%
   1     6 smask     455   330  gray    1   8  image  no       181  0   209   210 3682B 2.5%
   1     7 image     148   593  icc     3   8  image  no       182  0   229   231 73.6K  29%
   1     8 smask     148   593  gray    1   8  image  no       182  0   229   231 2095B 2.4%
   1     9 image     556   548  icc     3   8  image  no       183  0   269   270  221K  25%
   1    10 image     354   278  icc     3   8  jpeg   no       184  0   117   117 16.1K 5.6%
   2    11 image     162   396  icc     3   8  image  no       190  0   219   220 86.4K  46%
   2    12 image     289   289  icc     3   8  image  no       191  0   180   180  139K  57%
   2    13 image    1050  1050  icc     3   8  image  no       192  0   406   406  664K  21%
   2    14 smask    1050  1050  gray    1   8  image  no       192  0   406   406 79.1K 7.3%
   2    15 image     960   720  icc     3   8  jpeg   no       193  0   357   358 92.1K 4.5%
   2    16 image     251   287  icc     3   8  image  no       194  0   217   217 44.1K  21%
   2    17 image     312   185  icc     3   8  image  no       195  0   158   159 59.4K  35%
   2    18 image     230   235  icc     3   8  image  no       196  0   174   173 78.3K  49%
   3    19 image     245   192  icc     3   8  image  no       201  0   108   108 34.8K  25%
   3    20 image     224   210  icc     3   8  image  no       202  0   119   119 71.2K  52%
   3    21 image     500   500  icc     3   8  jpeg   no       203  0   170   170 25.0K 3.4%
   3    22 image     522   525  icc     3   8  image  no       204  0   248   248  115K  14%
   3    23 smask     522   525  gray    1   8  image  no       204  0   248   248 9030B 3.3%
   3    24 image     750   750  icc     3   8  image  no       205  0   402   402  243K  15%
   3    25 smask     750   750  gray    1   8  image  no       205  0   402   402 13.5K 2.5%
   3    26 image     185   450  icc     3   8  image  no       206  0   187   186 57.9K  24%
   3    27 smask     185   450  gray    1   8  image  no       206  0   187   186 6757B 8.1%
   3    28 image     452   452  icc     3   8  image  no       207  0   185   185 79.0K  13%
   3    29 smask     452   452  gray    1   8  image  no       207  0   185   185 10.6K 5.3%
   4    30 image     252   154  icc     3   8  image  no       214  0   123   123 71.0K  62%
   4    31 image     345   167  icc     3   8  image  no       215  0   169   169 63.6K  38%
   4    32 image     292   137  icc     3   8  image  no       216  0   139   138 50.0K  43%
   4    33 image     249   183  icc     3   8  image  no       217  0   155   154 60.1K  45%
   4    34 image     800   800  icc     3   8  image  no       218  0   239   239 62.5K 3.3%
   4    35 smask     800   800  gray    1   8  image  no       218  0   239   239 7452B 1.2%
   4    36 image     650   484  icc     3   8  image  no       219  0   249   248  104K  11%
   4    37 smask     650   484  gray    1   8  image  no       219  0   249   248 7958B 2.5%
   4    38 image     650   426  icc     3   8  image  no       220  0   275   274  116K  14%
   4    39 smask     650   426  gray    1   8  image  no       220  0   275   274 7331B 2.6%
   4    40 image     500   500  icc     3   8  image  no       221  0   180   180 39.7K 5.4%
   4    41 smask     500   500  gray    1   8  image  no       221  0   180   180 4877B 2.0%
   4    42 image     800   800  icc     3   8  image  no       222  0   462   462  147K 7.8%
   4    43 smask     800   800  gray    1   8  image  no       222  0   462   462 14.9K 2.4%
   4    44 image     520   520  icc     3   8  jpeg   no       223  0   302   302 33.9K 4.3%
   4    45 image     262   270  icc     3   8  image  no       224  0   167   167 65.7K  32%
   4    46 smask     262   270  gray    1   8  image  no       224  0   167   167 5092B 7.2%
   4    47 image     450   450  icc     3   8  image  no       225  0   315   315  133K  22%
   4    48 smask     450   450  gray    1   8  image  no       225  0   315   315 4840B 2.4%
   5    49 image     168   373  icc     3   8  image  no       230  0   215   216 50.2K  27%
   5    50 smask     168   373  gray    1   8  image  no       230  0   215   216 4649B 7.4%
   5    51 image     388   369  icc     3   8  image  no       231  0   228   228  121K  29%
   5    52 image     275   170  icc     3   8  image  no       234  0   132   133 81.0K  59%
   5    53 image     304   244  icc     3   8  image  no       235  0   176   175  108K  50%
   5    54 smask     304   244  gray    1   8  image  no       235  0   176   175 3294B 4.4%
   5    55 image     973   602  icc     3   8  image  no       236  0   419   419  184K  11%
   5    56 smask     973   602  gray    1   8  image  no       236  0   419   419 9.97K 1.7%
   5    57 image     522    56  icc     3   8  image  no       237  0   173   173 33.1K  39%
   5    58 smask     522    56  gray    1   8  image  no       237  0   173   173 1882B 6.4%
   5    59 image     600   400  icc     3   8  image  no       238  0   241   241 74.0K  11%
   5    60 smask     600   400  gray    1   8  image  no       238  0   241   241 4633B 1.9%
